lot_id,start_time,end_time,worker_id,material_batch,defect_status
LOT_2026_001,2026-03-01 08:00:00,2026-03-01 08:15:00,Worker_C,Raw_MAT_Y,0
LOT_2026_002,2026-03-01 08:15:10,2026-03-01 08:31:10,Worker_B,Raw_MAT_X,0
LOT_2026_003,2026-03-01 08:31:20,2026-03-01 08:45:20,Worker_B,Raw_MAT_X,0
LOT_2026_004,2026-03-01 08:45:30,2026-03-01 08:59:30,Worker_A,Raw_MAT_Y,0
LOT_2026_005,2026-03-01 08:59:40,2026-03-01 09:14:40,Worker_C,Raw_MAT_X,0
LOT_2026_006,2026-03-01 09:14:50,2026-03-01 09:29:50,Worker_A,Raw_MAT_X,0
LOT_2026_007,2026-03-01 09:30:00,2026-03-01 09:47:00,Worker_A,Raw_MAT_X,0
LOT_2026_008,2026-03-01 09:47:10,2026-03-01 10:01:10,Worker_B,Raw_MAT_X,0
LOT_2026_009,2026-03-01 10:01:20,2026-03-01 10:16:20,Worker_C,Raw_MAT_X,0
LOT_2026_010,2026-03-01 10:16:30,2026-03-01 10:33:30,Worker_C,Raw_MAT_X,0
LOT_2026_011,2026-03-01 10:33:40,2026-03-01 10:48:40,Worker_B,Raw_MAT_X,0
LOT_2026_012,2026-03-01 10:48:50,2026-03-01 11:02:50,Worker_B,Raw_MAT_X,0
LOT_2026_013,2026-03-01 11:03:00,2026-03-01 11:16:00,Worker_C,Raw_MAT_Y,0
LOT_2026_014,2026-03-01 11:16:10,2026-03-01 11:29:10,Worker_A,Raw_MAT_X,0
LOT_2026_015,2026-03-01 11:29:20,2026-03-01 11:42:20,Worker_B,Raw_MAT_X,0
LOT_2026_016,2026-03-01 11:42:30,2026-03-01 11:57:30,Worker_B,Raw_MAT_X,0
LOT_2026_017,2026-03-01 11:57:40,2026-03-01 12:14:40,Worker_A,Raw_MAT_X,0
LOT_2026_018,2026-03-01 12:14:50,2026-03-01 12:29:50,Worker_A,Raw_MAT_X,0
